Image,Rights,Caption
urn:cite:bnf:gr2700img.bnf2700_img96,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 43 verso"
urn:cite:bnf:gr2700img.bnf2700_img97,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 44 recto"
urn:cite:bnf:gr2700img.bnf2700_img98,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 44 verso"
urn:cite:bnf:gr2700img.bnf2700_img99,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 45 recto"
urn:cite:bnf:gr2700img.bnf2700_img100,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 45 verso"
urn:cite:bnf:gr2700img.bnf2700_img101,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 46 recto"
urn:cite:bnf:gr2700img.bnf2700_img102,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 46 verso"
urn:cite:bnf:gr2700img.bnf2700_img103,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 47 recto"
urn:cite:bnf:gr2700img.bnf2700_img104,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 47 verso"
urn:cite:bnf:gr2700img.bnf2700_img105,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 48 recto"
urn:cite:bnf:gr2700img.bnf2700_img106,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 48 verso"
urn:cite:bnf:gr2700img.bnf2700_img107,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 49 recto"
urn:cite:bnf:gr2700img.bnf2700_img108,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 49 verso"
urn:cite:bnf:gr2700img.bnf2700_img109,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 50 recto"
urn:cite:bnf:gr2700img.bnf2700_img110,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 50 verso"
urn:cite:bnf:gr2700img.bnf2700_img111,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 51 recto"
urn:cite:bnf:gr2700img.bnf2700_img112,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 51 verso"
urn:cite:bnf:gr2700img.bnf2700_img113,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, Grec 2700, 52 recto"
