Image,Rights,Caption
urn:cite:bnf:grsupp679img.bnfgrsupp679_img75,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 32 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img76,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 32 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img77,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 33 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img78,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 33 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img79,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 34 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img80,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 34 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img81,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 35 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img82,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 35 verso"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img83,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 36 recto"
urn:cite:bnf:grsupp679img.bnfgrsupp679_img84,"Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978.","Bibliothèque nationale de France, Département des manuscrits, supplément grec 679, 36 verso"
